Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,2,30,35,after_training,after_training,0.55432280,binary,5
Between_Epochs,2,35,40,after_training,after_training,0.55439486,binary,5
Between_Epochs,2,25,30,after_training,after_training,0.55146991,binary,5
Between_Epochs,2,40,45,after_training,after_training,0.55480331,binary,5
Between_Epochs,2,50,55,after_training,after_training,0.55552463,binary,5
Between_Epochs,2,55,60,after_training,after_training,0.55564491,binary,5
Between_Epochs,2,60,65,after_training,after_training,0.55444290,binary,5
Between_Epochs,2,45,50,after_training,after_training,0.55365059,binary,5
Between_Epochs,2,65,70,after_training,after_training,0.55627069,binary,5
Between_Epochs,2,70,75,after_training,after_training,0.55545246,binary,5
Between_Epochs,2,75,80,after_training,after_training,0.55415469,binary,5
Between_Epochs,2,80,85,after_training,after_training,0.55631885,binary,5
Between_Epochs,2,85,90,after_training,after_training,0.55605402,binary,5
Between_Epochs,2,90,95,after_training,after_training,0.55374658,binary,5
Between_Epochs,2,100,105,after_training,after_training,0.55660786,binary,5
Between_Epochs,2,95,100,after_training,after_training,0.55451497,binary,5
Between_Epochs,2,105,110,after_training,after_training,0.55487541,binary,5
Between_Epochs,2,115,120,after_training,after_training,0.55461107,binary,5
Between_Epochs,2,110,115,after_training,after_training,0.55456302,binary,5
Between_Epochs,2,120,125,after_training,after_training,0.55745142,binary,5
Between_Epochs,2,125,130,after_training,after_training,0.55357860,binary,5
Between_Epochs,2,130,135,after_training,after_training,0.55480331,binary,5
Between_Epochs,2,135,140,after_training,after_training,0.55696927,binary,5
Between_Epochs,2,140,145,after_training,after_training,0.55576522,binary,5
Between_Epochs,2,145,150,after_training,after_training,0.55610216,binary,5
Between_Epochs,2,155,160,after_training,after_training,0.55523602,binary,5
Between_Epochs,2,150,155,after_training,after_training,0.55581334,binary,5
Between_Epochs,2,160,165,after_training,after_training,0.55362659,binary,5
Between_Epochs,2,165,170,after_training,after_training,0.55477928,binary,5
Between_Epochs,2,170,175,after_training,after_training,0.55307487,binary,5
