Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,0,85,90,after_training,after_training,0.43690759,binary,5
Between_Epochs,0,90,95,after_training,after_training,0.43742256,binary,5
Between_Epochs,0,95,100,after_training,after_training,0.43639377,binary,5
Between_Epochs,0,100,105,after_training,after_training,0.43354857,binary,5
Between_Epochs,0,110,115,after_training,after_training,0.43742159,binary,5
Between_Epochs,0,105,110,after_training,after_training,0.43799392,binary,5
Between_Epochs,0,115,120,after_training,after_training,0.43626282,binary,5
Between_Epochs,0,120,125,after_training,after_training,0.43509662,binary,5
Between_Epochs,0,125,130,after_training,after_training,0.43656847,binary,5
Between_Epochs,0,130,135,after_training,after_training,0.43496923,binary,5
Between_Epochs,0,145,150,after_training,after_training,0.43649217,binary,5
Between_Epochs,0,135,140,after_training,after_training,0.43716699,binary,5
Between_Epochs,0,140,145,after_training,after_training,0.43491533,binary,5
Between_Epochs,0,155,160,after_training,after_training,0.43658315,binary,5
Between_Epochs,0,150,155,after_training,after_training,0.43401959,binary,5
Between_Epochs,0,160,165,after_training,after_training,0.43821425,binary,5
Between_Epochs,0,165,170,after_training,after_training,0.43391125,binary,5
Between_Epochs,0,170,175,after_training,after_training,0.43631189,binary,5
Between_Epochs,0,185,190,after_training,after_training,0.43409331,binary,5
Between_Epochs,0,175,180,after_training,after_training,0.43864839,binary,5
Between_Epochs,0,180,185,after_training,after_training,0.43835745,binary,5
Between_Epochs,0,190,195,after_training,after_training,0.43663709,binary,5
Between_Epochs,0,50,60,after_training,after_training,0.43904292,binary,10
Between_Epochs,0,20,30,after_training,after_training,0.43474056,binary,10
Between_Epochs,0,10,20,after_training,after_training,0.42803660,binary,10
Between_Epochs,0,40,50,after_training,after_training,0.43729318,binary,10
Between_Epochs,0,30,40,after_training,after_training,0.43591969,binary,10
Between_Epochs,0,0,10,after_training,after_training,0.43561157,binary,10
Between_Epochs,0,70,80,after_training,after_training,0.43382149,binary,10
Between_Epochs,0,60,70,after_training,after_training,0.43698017,binary,10
Between_Epochs,0,80,90,after_training,after_training,0.43715569,binary,10
Between_Epochs,0,90,100,after_training,after_training,0.43507695,binary,10
Between_Epochs,0,110,120,after_training,after_training,0.43248450,binary,10
Between_Epochs,0,100,110,after_training,after_training,0.43146357,binary,10
Between_Epochs,0,130,140,after_training,after_training,0.43485486,binary,10
Between_Epochs,0,140,150,after_training,after_training,0.43497993,binary,10
Between_Epochs,0,120,130,after_training,after_training,0.43334465,binary,10
Between_Epochs,0,150,160,after_training,after_training,0.43428245,binary,10
Between_Epochs,0,160,170,after_training,after_training,0.43686680,binary,10
Between_Epochs,0,170,180,after_training,after_training,0.43868113,binary,10
Between_Epochs,0,180,190,after_training,after_training,0.43361479,binary,10
Between_Epochs,0,20,40,after_training,after_training,0.43040635,binary,20
Between_Epochs,0,0,20,after_training,after_training,0.42813263,binary,20
Between_Epochs,0,40,60,after_training,after_training,0.43520482,binary,20
Between_Epochs,0,80,100,after_training,after_training,0.43285208,binary,20
Between_Epochs,0,120,140,after_training,after_training,0.43445846,binary,20
Between_Epochs,0,60,80,after_training,after_training,0.43539473,binary,20
Between_Epochs,0,100,120,after_training,after_training,0.43580732,binary,20
Between_Epochs,0,140,160,after_training,after_training,0.43685192,binary,20
Between_Epochs,0,160,180,after_training,after_training,0.43341692,binary,20
Between_Epochs,0,0,30,after_training,after_training,0.41667622,binary,30
Between_Epochs,0,90,120,after_training,after_training,0.43344882,binary,30
Between_Epochs,0,60,90,after_training,after_training,0.43134500,binary,30
Between_Epochs,0,30,60,after_training,after_training,0.42815502,binary,30
Between_Epochs,0,120,150,after_training,after_training,0.43760432,binary,30
Between_Epochs,0,150,180,after_training,after_training,0.43353976,binary,30
